Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
124,tt0870984,2018-04-14,2018-04-14,,Antichrist,https://www.imdb.com/title/tt0870984/,movie,6.6,108,2009,"Drama, Horror",112477,2009-05-18,Lars von Trier
125,tt0762073,2018-04-14,2018-04-14,,Bakjwi,https://www.imdb.com/title/tt0762073/,movie,7.1,134,2009,"Drama, Fantasy, Horror, Romance",40754,2009-04-30,Chan-wook Park
126,tt1278340,2018-04-14,2018-04-14,,Død snø,https://www.imdb.com/title/tt1278340/,movie,6.3,90,2009,"Comedy, Horror",62732,2009-01-09,Tommy Wirkola
127,tt1127180,2018-04-14,2018-04-14,,Drag Me to Hell,https://www.imdb.com/title/tt1127180/,movie,6.5,99,2009,"Horror, Thriller",183213,2009-03-15,Sam Raimi
128,tt1288645,2018-04-14,2018-04-14,,Pintu Terlarang,https://www.imdb.com/title/tt1288645/,movie,6.8,115,2009,"Horror, Mystery, Thriller",1754,2009-01-22,Joko Anwar
129,tt1316536,2018-04-14,2018-04-14,,The Loved Ones,https://www.imdb.com/title/tt1316536/,movie,6.6,84,2009,"Horror, Thriller",35924,2009-09-13,Sean Byrne
130,tt1156398,2018-04-14,2018-04-14,,Zombieland,https://www.imdb.com/title/tt1156398/,movie,7.6,88,2009,"Adventure, Comedy, Fantasy, Sci-Fi",503789,2009-09-25,Ruben Fleischer
131,tt1379182,2018-07-10,2018-07-10,,Kynodontas,https://www.imdb.com/title/tt1379182/,movie,7.3,97,2009,"Drama, Thriller",76766,2009-05-18,Yorgos Lanthimos
132,tt1220214,2018-08-10,2018-08-10,,Heartless,https://www.imdb.com/title/tt1220214/,movie,6.0,114,2009,"Drama, Fantasy, Horror",9754,2009-08-31,Philip Ridley
133,tt1190539,2018-04-14,2018-04-14,,Chugyeogja,https://www.imdb.com/title/tt1190539/,movie,7.9,125,2008,"Action, Crime, Thriller",54529,2008-02-14,Hong-jin Na
134,tt1060277,2018-04-14,2018-04-14,,Cloverfield,https://www.imdb.com/title/tt1060277/,movie,7.0,85,2008,"Action, Adventure, Horror, Mystery, Sci-Fi, Thriller",363975,2008-01-16,Matt Reeves
135,tt0465430,2018-04-14,2018-04-14,,The Cottage,https://www.imdb.com/title/tt0465430/,movie,6.1,92,2008,"Comedy, Crime, Horror, Thriller",11668,2008-02-23,Paul Andrew Williams
136,tt1020530,2018-04-14,2018-04-14,,Eden Lake,https://www.imdb.com/title/tt1020530/,movie,6.8,91,2008,"Horror, Thriller",73707,2008-08-12,James Watkins
137,tt0411477,2018-04-14,2018-04-14,,Hellboy II: The Golden Army,https://www.imdb.com/title/tt0411477/,movie,7.0,120,2008,"Action, Adventure, Fantasy, Horror, Sci-Fi, War",250520,2008-06-28,Guillermo del Toro
138,tt1139797,2018-04-14,2018-04-14,,Låt den rätte komma in,https://www.imdb.com/title/tt1139797/,movie,7.9,114,2008,"Drama, Horror, Romance",200808,2008-01-26,Tomas Alfredson
139,tt1029234,2018-04-14,2018-04-14,,Martyrs,https://www.imdb.com/title/tt1029234/,movie,7.1,99,2008,Horror,79239,2008-05-31,Pascal Laugier
140,tt1226681,2018-04-14,2018-04-14,,Pontypool,https://www.imdb.com/title/tt1226681/,movie,6.6,93,2008,"Fantasy, Horror, Thriller",28108,2008-09-06,Bruce McDonald
141,tt1183732,2018-04-14,2018-04-14,,Tôkyô zankoku keisatsu,https://www.imdb.com/title/tt1183732/,movie,5.9,110,2008,"Action, Comedy, Horror, Sci-Fi",10601,2008-05-29,Yoshihiro Nishimura
142,tt0450385,2018-04-14,2018-04-14,,1408,https://www.imdb.com/title/tt0450385/,movie,6.8,104,2007,"Fantasy, Horror, Mystery",249680,2007-06-12,Mikael Håfström
143,tt0490081,2018-04-14,2018-04-14,,Asudem,https://www.imdb.com/title/tt0490081/,movie,5.0,90,2007,"Action, Horror, Thriller",471,2007-03-07,Daryush Shokof
144,tt0814685,2018-04-14,2018-04-14,,Frontière(s),https://www.imdb.com/title/tt0814685/,movie,6.2,108,2007,Horror,24423,2007-07-01,Xavier Gens
145,tt0808279,2018-04-14,2018-04-14,,Funny Games,https://www.imdb.com/title/tt0808279/,movie,6.6,111,2007,"Crime, Drama, Horror, Thriller",87675,2007-10-20,Michael Haneke
146,tt0462322,2018-04-14,2018-04-14,,Grindhouse,https://www.imdb.com/title/tt0462322/,movie,7.5,191,2007,"Action, Horror, Thriller",174998,2007-03-26,"Edgar Wright, Rob Zombie, Quentin Tarantino, Robert Rodriguez, Eli Roth"
147,tt0480669,2018-04-14,2018-04-14,,Los cronocrímenes,https://www.imdb.com/title/tt0480669/,movie,7.2,92,2007,"Horror, Mystery, Sci-Fi, Thriller",55256,2007-09-20,Nacho Vigalondo
148,tt0830558,2018-04-14,2018-04-14,,The Girl Next Door,https://www.imdb.com/title/tt0830558/,movie,6.6,91,2007,"Crime, Drama, Horror, Thriller",22570,2007-07-19,Gregory Wilson
149,tt0480249,2018-04-14,2018-04-14,[b]Horror / Science-fiction[/b],I Am Legend,https://www.imdb.com/title/tt0480249/,movie,7.2,101,2007,"Adventure, Drama, Sci-Fi, Thriller",666693,2007-12-05,Francis Lawrence
150,tt0856288,2018-04-14,2018-04-14,,À l'intérieur,https://www.imdb.com/title/tt0856288/,movie,6.8,82,2007,Horror,36105,2007-05-24,"Alexandre Bustillo, Julien Maury"
151,tt0844319,2018-04-14,2018-04-14,,Kaidan,https://www.imdb.com/title/tt0844319/,movie,6.2,115,2007,"Drama, Horror, Romance",999,2007-07-24,Hideo Nakata
152,tt0884328,2018-04-14,2018-04-14,,The Mist,https://www.imdb.com/title/tt0884328/,movie,7.1,126,2007,"Horror, Sci-Fi",272449,2007-11-12,Frank Darabont
153,tt0878695,2018-04-14,2018-04-14,,Murder Party,https://www.imdb.com/title/tt0878695/,movie,5.8,79,2007,"Comedy, Drama, Horror, Thriller",10147,2007-01-21,Jeremy Saulnier
154,tt0489235,2018-04-14,2018-04-14,,My Name Is Bruce,https://www.imdb.com/title/tt0489235/,movie,6.2,84,2007,"Comedy, Fantasy, Horror",23305,2007-04-13,Bruce Campbell
155,tt0464141,2018-04-14,2018-04-14,,El orfanato,https://www.imdb.com/title/tt0464141/,movie,7.4,105,2007,"Drama, Horror, Mystery, Thriller",143042,2007-05-20,J.A. Bayona
156,tt1179904,2018-04-14,2018-04-14,,Paranormal Activity,https://www.imdb.com/title/tt1179904/,movie,6.3,86,2007,"Horror, Mystery, Thriller",214915,2007-10-14,Oren Peli
157,tt1077258,2018-04-14,2018-04-14,[b]Single film in the 'Grindhouse' (2007) double-feature[/b].,Planet Terror,https://www.imdb.com/title/tt1077258/,movie,7.1,105,2007,"Action, Adventure, Comedy, Horror, Thriller",195705,2007-06-21,Robert Rodriguez
158,tt1010271,2018-04-14,2018-04-14,,The Poughkeepsie Tapes,https://www.imdb.com/title/tt1010271/,movie,6.1,81,2007,"Horror, Mystery, Thriller",14075,2007-04-27,John Erick Dowdle
159,tt1038988,2018-04-14,2018-04-14,,[Rec],https://www.imdb.com/title/tt1038988/,movie,7.4,78,2007,"Adventure, Horror, Mystery, Sci-Fi, Thriller",160128,2007-08-29,"Jaume Balagueró, Paco Plaza"
160,tt0408236,2018-04-14,2018-04-14,,Sweeney Todd: The Demon Barber of Fleet Street,https://www.imdb.com/title/tt0408236/,movie,7.3,116,2007,"Drama, Horror, Musical, Thriller",333992,2007-12-03,Tim Burton
161,tt0862856,2018-04-14,2018-04-14,,Trick 'r Treat,https://www.imdb.com/title/tt0862856/,movie,6.8,82,2008,"Comedy, Horror",77436,2008-10-07,Michael Dougherty
162,tt0883995,2018-04-14,2018-04-14,,13 game sayawng,https://www.imdb.com/title/tt0883995/,movie,6.7,114,2006,"Comedy, Crime, Drama, Horror, Mystery, Thriller",5504,2006-10-05,Chookiat Sakveerakul
163,tt0437857,2018-04-14,2018-04-14,,Behind the Mask: The Rise of Leslie Vernon,https://www.imdb.com/title/tt0437857/,movie,6.7,92,2006,"Comedy, Horror, Thriller",20743,2006-07-08,Scott Glosserman
164,tt0470705,2018-04-14,2018-04-14,,Bug,https://www.imdb.com/title/tt0470705/,movie,6.1,102,2006,"Drama, Horror, Thriller",32173,2006-05-19,William Friedkin
165,tt0457572,2018-04-14,2018-04-14,,Fido,https://www.imdb.com/title/tt0457572/,movie,6.7,93,2006,"Comedy, Drama, Horror, Sci-Fi",27674,2006-09-07,Andrew Currie
166,tt0454841,2018-04-14,2018-04-14,,The Hills Have Eyes,https://www.imdb.com/title/tt0454841/,movie,6.4,107,2006,"Horror, Thriller",154339,2006-03-10,Alexandre Aja
